dish_serial,dish_name,unit_price,calories,carbohydrates,protein,fat,fiber,weight
26_47372471472623616,肉末茄子,1.62,64.8,4.32,3.24,3.7800000000000002,1.08,54.0
26_47373257908817920,椒盐虾,6.044604316546762,48.871942446043164,1.2217985611510793,7.330791366906475,2.0363309352517986,0.0,40.726618705035975
26_47373891743649792,酥鱼/红烧肉,6.0,259.23364485981307,8.641121495327104,11.521495327102803,17.282242990654208,1.1521495327102804,57.60747663551402
26_47374676875415552,木耳西兰花,3.113316953316953,18.73007371007371,2.2035380835380836,1.6526535626535626,0.0,1.1017690417690418,55.08845208845209
26_47375044388720640,凉拌黑木耳/素烧鹅,2.67,59.58139534883721,7.4476744186046515,2.9790697674418603,1.9860465116279071,2.4825581395348837,49.651162790697676
26_47375420961722368,西红柿炒鸡蛋,1.54,43.26153846153846,2.276923076923077,3.4153846153846152,2.276923076923077,0.5692307692307692,56.92307692307692
26_47375739703660544,葱油娃娃菜,2.3732741116751273,31.072271573604063,3.4524746192893403,1.380989847715736,1.380989847715736,0.690494923857868,69.0494923857868
26_47376474050793472,香菇鸭块/雪蘑菇肉片,4.0,199.38765432098765,7.477037037037037,17.44641975308642,11.215555555555556,1.8692592592592592,62.30864197530864
26_47376794684362752,韭黄肉丝小炒,4.9,124.79950372208437,5.672704714640198,8.509057071960298,6.807245657568239,1.1345409429280398,56.727047146401986
26_47377396340494336,三色绿豆芽,1.8090456431535271,23.503941908713692,3.5517427385892115,1.6713554633471648,0.783374827109267,0.9920470262793915,52.230982019363765
26_47379061760200704,米饭,0.2098991775006633,259.3856991244362,56.26676837357389,5.38753957725303,0.5984169098788361,0.7981330149464934,199.5274608649509
26_47392490109669376,小酥肉,6.0,117.70833333333333,7.0625,4.708333333333333,8.475000000000001,0.4708333333333333,47.083333333333336
26_47397476881272832,青菜,1.4508771929824562,10.68859649122807,1.9241520467836255,1.0690643274853802,0.14304093567251464,0.7839181286549708,71.25730994152046
26_47398890068119552,大白菜,1.5,10.574646464646465,1.9527272727272726,1.220050505050505,0.08136363636363636,0.8134343434343434,81.34343434343434
26_48457672449724416,红烧排骨,4.891203703703703,184.1724537037037,3.683449074074074,14.733796296296296,11.050347222222221,0.0,73.66898148148148
26_48459880079691776,椒盐带鱼/鸡排,6.5,160.75829383886256,6.028436018957346,12.559241706161137,9.042654028436019,0.5023696682464455,50.23696682464455
26_48461049501978624,茄子豆角,2.3,20.225316455696202,3.3708860759493673,0.8427215189873418,0.0,1.6854430379746836,84.27215189873418
26_48461594572754944,土豆丝/大白菜,1.4589147286821704,114.26511627906977,12.696124031007752,3.174031007751938,6.348062015503876,1.9044186046511626,63.48062015503876
26_48461646162694144,油豆腐烧肉,2.844343629343629,168.06640926640927,6.111505791505792,9.167258687258688,11.45907335907336,1.527876447876448,76.39382239382239
26_48462935516909568,海带丝,2.595135135135135,4.770162162162162,0.9938378378378379,0.47702702702702704,0.03989189189189189,0.39751351351351355,39.75135135135135
26_48463435717021696,蘑菇小炒肉,3.9,75.00923076923077,3.1253846153846156,6.250769230769231,4.375538461538461,1.2501538461538462,62.50769230769231
26_48463756191207424,木耳花菜/青瓜炒蛋,2.0,135.77142857142857,7.542857142857143,9.051428571428572,7.542857142857143,2.262857142857143,75.42857142857143
26_48464571123503104,芹菜香干,2.5840366972477065,51.745798165137614,4.224146788990826,3.168110091743119,2.640091743119266,1.0560366972477064,52.80183486238532
26_48465394704453632,口水鸡,4.0,118.04779411764706,2.360955882352941,11.804779411764706,7.082867647058824,0.0,78.69852941176471
26_48818878670835712,虎皮尖椒/西葫芦炒蛋,2.4791472868217053,196.83204134366926,8.435658914728682,10.544573643410853,12.653488372093022,2.1089147286821706,70.29715762273902
26_48819631481294848,清炒南瓜/豆芽,1.4,57.26117647058823,9.103193277310924,2.5689915966386554,1.5416806722689076,2.0556302521008405,73.41176470588235
26_48821777136226304,千叶豆腐肉丝,3.0,207.0415094339623,14.788679245283017,13.309811320754717,11.091509433962264,1.4788679245283018,73.94339622641509
